[37.5808284285714, -122.347955591837]
[37.57978535, -122.350649516203]
[37.5749018445916, -122.342974709456]
[37.5790178, -122.348920827763]
[37.5791709095138, -122.346360073471]
[37.5892728380648, -122.342895225955]
[37.5780539264711, -122.350269205065]
[37.59510795, -122.366330675905]
[37.5793430351523, -122.339989032699]
[37.592012, -122.358567996669]
[37.5785707, -122.3467184]
[37.5859135306122, -122.359809653061]
[37.586023, -122.360069]
[37.5892728380648, -122.342895225955]
[37.5772756, -122.348279572578]
[37.591083702886, -122.347251628145]
[37.5843196871173, -122.348942747863]
[37.5822693313823, -122.380556885246]
[37.5971504, -122.3723459]
[37.578098728954, -122.348335283035]
[37.5742489952312, -122.350015512445]
[37.5742489952312, -122.350015512445]
[37.603081, -122.396291]
[37.5970570899052, -122.396919641868]
[37.600259964201, -122.39017717661]
[37.600165290271, -122.390732687581]
[37.5873924231798, -122.393823418422]
[37.6027992173703, -122.39269933268]
[37.603081, -122.396291]
[37.600259964201, -122.39017717661]
[37.6018627, -122.3932073]
[37.6023261570472, -122.393710478201]
[37.6025788, -122.3941974]
[37.6003187, -122.3838344]
[37.5966248, -122.381227956701]
[37.6002324261235, -122.389537764453]
[37.5474789, -122.315168168243]
[37.562271, -122.317409]
[37.5560665, -122.2882578]
[37.5636968478109, -122.285029188056]
[37.5657775, -122.3243567]
[37.5534897, -122.299521081877]
[37.5608062158496, -122.315469052346]
[37.5493501396006, -122.318558223511]
[37.543169, -122.306602571429]
[37.5574949897745, -122.300937667986]
[37.5492193673469, -122.308154428571]
[37.5609248902509, -122.328186425406]
[37.566631, -122.3257002]
[37.5741252565055, -122.327856169639]
[37.5708933593342, -122.33705110696]
[37.53688255, -122.3248893]
[37.5657775, -122.3243567]
[37.566462, -122.324741]
[37.6267542244898, -122.411173040816]
[37.6234119428571, -122.411342185714]
[37.6257378, -122.4260777]
[37.628127, -122.422685]
[37.6281990332675, -122.422062561645]
[37.621033, -122.411118]
[37.628514, -122.425752]
[37.6287828, -122.422058121579]
[37.622867, -122.4124588]
[37.62938095, -122.418792748702]
[37.6400990210771, -122.411656233519]
[37.6279036470588, -122.411404588235]
[37.6348029143529, -122.42551715373]
[37.622867, -122.4124588]
[37.6257378, -122.4260777]
[37.6276444285714, -122.41652677551]
[37.6519448545048, -122.392817922151]
[37.6539061052632, -122.410664894737]
[37.6454712706701, -122.403631447663]
[37.6663761, -122.3980808]
[37.6491741563619, -122.385609287194]
[37.6721341, -122.3877146]
[37.6542138, -122.389576562289]
[37.6557472713749, -122.413106596969]
[37.6533166561384, -122.380707315884]
[37.6469203187763, -122.399329354177]
[37.6549772568603, -122.409617575358]
[37.6490101563619, -122.385621287194]
[37.655301699115, -122.406036088496]
[37.6450491140188, -122.416041214177]
[37.6522057113131, -122.393316074508]
[37.652265742919, -122.400225850702]
[37.6729148, -122.3859245]
[37.6645486, -122.3990104]
[37.6401207, -122.4146076]
[37.6520100687069, -122.39294246024]
[37.6506808919824, -122.387132829375]
[37.6413118080808, -122.411514212121]
[37.642863, -122.417769142857]
[37.6525570816327, -122.411133877551]
